id,value,data_type,attribute_id,created_at,updated_at,deleted_at
42,6,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
43,60,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
44,65,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
45,7,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
46,75,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
47,8,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
48,1,number,4,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
49,2,number,4,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
50,3,number,4,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
51,4,number,4,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
52,5,number,4,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
53,True,string,5,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
54,True,string,6,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
55,2020-07-15,datetime,7,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
56,2020-07-31,datetime,7,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
57,2020-08-15,datetime,7,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
58,2020-09-21,datetime,7,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
59,2020-04-15,datetime,8,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
60,2020-06-01,datetime,8,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
61,2020-09-01,datetime,8,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
62,3,number,9,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
63,4,number,9,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
64,5,number,9,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
65,3,number,10,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
66,4,number,10,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
67,5,number,10,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
68," A cross between rye and wheat, with characteristics intermediate between the two. Fall growth is upright, similar to wheat, so it is slower to provide ground cover and weed suppression than rye. High biomass yield potential is slightly higher than wheat in the fall and similar to rye. Matures later than rye, a little later than wheat. Plant height at heading is shorter than rye. Therefore, spring residue is easier to manage than rye and (assuming same kill date), C:N ratio will be slightly lower than rye. Triticale feed quality is generally better than rye, but not as good as wheat (i.e. chop triticale for silage at boot stage). Does not easily sustain frost damage. Winter triticale varieties typically require vernalization (overwintering) to flower and may stay short and not produce seed if planted in the spring. Spring triticale varieties do not require vernalization (overwintering) to flower and may be less cold hardy than winter triticale varieties if planted in the fall. 
",string,11,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
69,"A cool season annual with a short, upright growth habit. Popular in warmer regions of the Northeast. Shade tolerant. Does not reliably overwinter in plant hardiness zone 5 and colder. Good forage producer, good N-fixer. Showy red blooms, good for pollinators. Can reseed quickly and become a weed. Host to some problem nematodes. Inoculate the seed with appropriate Rhizobium spp.; cross-inoculates with red or white clover. Mixes well with barley, wheat, triticale or annual ryegrass. Larger seeded and better seedling vigor than most clovers. Earlier-seeded, more fall growth, earlier spring bloom than hairy vetch. Slower residue breakdown of stems and N release than vetch. ",string,11,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
70,"A cool season annual with a short, upright growth habit. Popular in warmer regions of the Northeast. Shade tolerant. Does not reliably overwinter. Good forage producer, good N-fixer. Showy red blooms, good for pollinators. Host to some problem nematodes. Inoculate the seed with appropriate Rhizobium spp.; cross-inoculates with red or white clover. Mixes well with barley, annual ryegrass, cereal rye. Larger seeded and better seedling vigor than most clovers. Earlier-seeded, more fall growth, earlier spring bloom than hairy vetch. Slower residue breakdown of stems and N release than vetch.",string,11,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
71,"A cool season annual with a short, upright growth habit. Popular in warmer regions of the Northeast. Shade tolerant. Does not reliably overwinter. Good forage producer, good N-fixer. Showy red blooms, good for pollinators. Host to some problem nematodes. Inoculate the seed with appropriate Rhizobium spp.; cross-inoculates with red or white clover. Mixes well with barley, annual ryegrass, cereal rye. Larger seeded and better seedling vigor than most clovers. Earlier-seeded, more fall growth, earlier spring bloom than hairy vetch. Slower residue breakdown of stems and N release than vetch.
",string,11,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
72,"A cross between rye and wheat, with characteristics intermediate between the two. Fall growth is upright, similar to wheat, so it is slower to provide ground cover and weed suppression than rye. High biomass yield potential is slightly higher than wheat in the fall and similar to rye. Matures later than rye, a little later than wheat. Plant height at heading is shorter than rye. Therefore, spring residue is easier to manage than rye and (assuming same kill date), C:N ratio will be slightly lower than rye. Triticale feed quality is generally better than rye, but not as good as wheat (i.e. chop triticale for silage at boot stage). Does not easily sustain frost damage. Winter triticale varieties typically require vernalization (overwintering) to flower and may stay short and not produce seed if planted in the spring. Spring triticale varieties do not require vernalization (overwintering) to flower and may be less cold hardy than winter triticale varieties if planted in the fall. ",string,11,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
73,"A cross between rye and wheat, with characteristics intermediate between the two. Fall growth is upright, similar to wheat, so it is slower to provide ground cover and weed suppression than rye. High biomass yield potential is slightly higher than wheat in the fall and similar to rye. Matures later than rye, a little later than wheat. Plant height at heading is shorter than rye. Therefore, spring residue is easier to manage than rye and (assuming same kill date), C:N ratio will be slightly lower than rye. Triticale feed quality is generally better than rye, but not as good as wheat (i.e. chop triticale for silage at boot stage). Winter kill is more likely if planted early in plant hardiness zone 5 and colder. Due to its later flowering and plant height it is better in a mix with legumes than cereal rye when nitrogen fixation in the spring is the prime objective. Winter triticale varieties typically require vernalization (overwintering) to flower and may stay short and not produce seed if planted in the spring. Spring triticale varieties do not require vernalization (overwintering) to flower and may be less cold hardy than winter triticale varieties if planted in the fall.",string,11,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
74,"A cross between rye and wheat, with characteristics intermediate between the two. Fall growth is upright, similar to wheat, so it is slower to provide ground cover and weed suppression than rye. High biomass yield potential is slightly higher than wheat in the fall and similar to rye. Matures later than rye, a little later than wheat. Plant height at heading is shorter than rye. Therefore, spring residue is easier to manage than rye and (assuming same kill date), C:N ratio will be slightly lower than rye. Triticale feed quality is generally better than rye, but not as good as wheat (i.e. chop triticale for silage at boot stage). Winter kill is more likely if planted early in plant hardiness zone 5. Due to its later flowering and plant height it is better in a mix with legumes than cereal rye when nitrogen fixation in the spring is the prime objective. Winter triticale varieties typically require vernalization (overwintering) to flower and may stay short and not produce seed if planted in the spring. Spring triticale varieties do not require vernalization (overwintering) to flower and may be less cold hardy than winter triticale varieties if planted in the fall. ",string,11,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
75,"A cross between rye and wheat, with characteristics intermediate between the two. High biomass yield potential is similar to wheat and rye. Matures later than rye, a little later than wheat. Plant height at heading is shorter than rye. Therefore, spring residue is easier to manage than rye and (assuming same kill date) C:N ratio will be slightly lower than rye. Triticale feed quality is generally better than rye, but not as good as wheat (i.e. chop triticale for silage at boot stage). Spring triticale varieties do not require vernalization (overwintering) to flower and may be less cold hardy than winter triticale varieties if planted in the fall.",string,11,2022-10-28 13:00:49.496005-04,2022-10-28 13:00:49.496005-04,
76,"A cross between rye and wheat, with characteristics intermediate between the two. High biomass yield potential is similar to wheat and rye. Matures later than rye, a little later than wheat. Plant height at heading is shorter than rye. Therefore, spring residue is easier to manage than rye and (assuming same kill date) C:N ratio will be slightly lower than rye. Triticale feed quality is generally better than rye, but not as good as wheat (i.e. chop triticale for silage at boot stage). Spring triticale varieties do not require vernalization (overwintering) to flower and may be less cold hardy than winter triticale varieties if planted in the fall.
",string,11,2022-10-28 13:00:49.496005-04,2022-10-28 13:00:49.496005-04,
77,"Also known as Austrian Winter Pea. Vining cool-season annual. Variable winter hardiness. Excellent N-fixer, good biomass and forage. Low risk of reseeding and becoming a weed. Susceptible to sclerotinia crown rot, rotate with non-susceptible crops to reduce risk. Inoculate the seed with appropriate Rhizobium spp; cross inoculates with vetch. If the goal is overwintering, select cultivar accordingly; avoid planting too early or late, and plant at the deeper end of the recommended planting depth range (~2"" deep). May be planted in spring, but potentially slower growth and lower biomass and N fixation than spring peas. Mixes well with upright species due to its vining habit. Residue decomposes rapidly and releases N faster than vetch. ",string,11,2022-10-28 13:00:49.496005-04,2022-10-28 13:00:49.496005-04,
78,"Also known as Austrian Winter Pea. Vining cool-season annual. Variable winter hardiness. Excellent N-fixer, good biomass and forage. Low risk of reseeding and becoming a weed. Susceptible to sclerotinia crown rot, rotate with non-susceptible crops to reduce risk. Inoculate the seed with appropriate Rhizobium spp; cross inoculates with vetch. If the goal is overwintering, select cultivar accordingly; avoid planting too early or late, and plant at the deeper end of the recommended planting depth range (~2"" deep). May be planted in spring, but potentially slower growth and lower biomass and N fixation than spring peas. Mixes well with upright species due to its vining habit. Residue decomposes rapidly and releases N faster than vetch. 
",string,11,2022-10-28 13:00:49.496005-04,2022-10-28 13:00:49.496005-04,
79,"Also known as Austrian Winter Pea. Vining cool-season annual. Variable winter hardiness. Excellent N-fixer, good biomass and forage. Low risk of reseeding and becoming weed. Susceptible to sclerotinia crown rot, rotate with non-susceptible crops to reduce risk. Inoculate the seed with appropriate Rhizobium spp.; cross inoculates with vetch. If the goal is winter-wintering, select cultivar accordingly, avoid planting too early or late, and plant at the deeper end of the recommended planting depth range (~2"" deep). May be planted in spring, but potentially slower growth and lower biomass and N fixation than spring peas. Mixes well with upright species due to its vining habit. Residue decomposes rapidly and releases N faster than vetch. ",string,11,2022-10-28 13:00:49.496005-04,2022-10-28 13:00:49.496005-04,
80,"Also known as Daikon or tillage radish. Excellent fall-planted choice if winter-kill is desired. Fastest-growing fall cover crop option if good fertility is present. Good for suppressing weeds. Winter-killed residues decompose and release N rapidly. May overwinter if snow cover is present to buffer temperature extremes. Plant early and plant at the low end of the recommended seeding rate for large plants that are more likely to winter-kill. Late planting and high seeding rates promote small plants that are more winter hardy but cover crop benefits will be greatly diminished. Acts differently when planted in spring: much less root and top growth, bolts and flowers very quickly.  Some varieties may differ in sensitivity to daylength and thus may be slower to bolt in spring. Terminate prior to seed set to prevent it FROM ""legacy"".becoming a weed. If it survives winter, it can be difficult to terminate. Good in mixes to add diversity, especially with peas and oats, but plant at the low end of the recommended seeding rate range to prevent it FROM ""legacy"".out-competing companions. Plant in mix with a winter-hardy grass such as cereal rye if N leaching over winter/early spring is a concern. Has vigorous top growth and a thicker root than oilseed radish, is slower to bolt when planted in the fall. Unpleasant sulfur-smelling odor can be released as plants decay.",string,11,2022-10-28 13:00:49.496005-04,2022-10-28 13:00:49.496005-04,
81,"Also known as Daikon or tillage radish. Excellent fall-planted choice if winter-kill is desired. Fastest-growing fall cover crop option if good fertility is present. Good for suppressing weeds. Winter-killed residues decompose and release N rapidly. May overwinter if snow cover is present to buffer temperature extremes. Plant early and plant at the low end of the recommended seeding rate for large plants that are more likely to winter-kill. Late planting and high seeding rates promote small plants that are more winter hardy but cover crop benefits will be greatly diminished. Acts differently when planted in spring: much less root and top growth, bolts and flowers very quickly.  Some varieties may differ in sensitivity to daylength and thus may be slower to bolt in spring. Terminate prior to seed set to prevent it FROM ""legacy"".becoming a weed. If it survives winter, it can be difficult to terminate. Good in mixes to add diversity, especially with peas and oats, but plant at the low end of the recommended seeding rate range to prevent it FROM ""legacy"".out-competing companions. Plant in mix with a winter-hardy grass such as cereal rye if N leaching over winter/early spring is a concern. Has vigorous top growth and a thicker root than oilseed radish, is slower to bolt when planted in the fall. Unpleasant sulfur-smelling odor can be released as plants decay.
",string,11,2022-10-28 13:00:49.496005-04,2022-10-28 13:00:49.496005-04,
82,"Also known as Daikon or tillage radish. Excellent fall-planted choice if winter-kill is desired. Fastest-growing fall cover crop option if good fertility is present. Good for suppressing weeds. Winter-killed residues decompose and release N rapidly. May overwinter if snow cover is present to buffer temperature extremes. Plant early in fall and plant at the low end of the recommended seeding rate for large plants that are more likely to winter-kill. Late planting and high seeding rates promote small plants that are more winter hardy but cover crop benefits will be greatly diminished. Acts differently when planted in spring: much less root and top growth, bolts and flowers very quickly.  Some varieties may differ in sensitivity to daylength and thus may be slower to bolt in spring. Terminate prior to seed set to prevent it FROM ""legacy"".becoming a weed. If it survives winter, it can be difficult to terminate. Good in mixes to add diversity, especially with peas and oats, but plant at the low end of the recommended seeding rate range to prevent it FROM ""legacy"".out-competing companions. Plant in mix with a winter-hardy grass such as cereal rye if N leaching over winter/early spring is a concern. Has vigorous top growth and a thicker root than oilseed radish, is slower to bolt when planted in the fall. Unpleasant sulfur-smelling odor can be released as plants decay.",string,11,2022-10-28 13:00:49.496005-04,2022-10-28 13:00:49.496005-04,
83,"Also known as Daikon or tillage radish. Excellent fall-planted choice if winter-kill is desired. Fastest-growing fall cover crop option if good fertility is present. Good for suppressing weeds. Winter-killed residues decompose and release N rapidly. May overwinter in unusually warm winters in zone 7, or if snow cover is present to buffer temperature extremes. Plant early (by early September in USDA hardiness zone 7) and plant at the low end of the recommended seeding rate for large plants that are more likely to winter-kill. Late planting and high seeding rates promote small plants that are more winter hardy but cover crop benefits will be greatly diminished. Acts differently when planted in spring: much less root and top growth, bolts and flowers very quickly.  Some varieties may differ in sensitivity to daylength and thus may be slower to bolt in spring. Terminate prior to seed set to prevent it FROM ""legacy"".becoming a weed. If it survives winter, it can be difficult to terminate. Good in mixes to add diversity, especially with peas and oats, but plant at the low end of the recommended seeding rate range to prevent it FROM ""legacy"".out-competing companions. Plant in mix with a winter-hardy grass such as cereal rye if N leaching over winter/early spring is a concern. Has vigorous top growth and a thicker root than oilseed radish, is slower to bolt when planted in the fall. Unpleasant sulfur-smelling odor can be released as plants decay.",string,11,2022-10-28 13:00:49.497839-04,2022-10-28 13:00:49.497839-04,
84,"Also known as Egyptian clover. Used as a summer annual in the Northeast US. Least cold-hardy clover. Does not do well on droughty soils due to its shallow root system. Excellent N producer. High biomass and N production potential. Inoculate the seed with appropriate Rhizobium spp. Good in mixes with other species that winter-kill, especially grasses such as oats.",string,11,2022-10-28 13:00:49.497839-04,2022-10-28 13:00:49.497839-04,
85,"Also known as Egyptian clover. Used as a summer annual in the Northeast US. Least cold-hardy clover. Does not do well on droughty soils due to its shallow root system. Excellent N producer. High biomass and N production potential. Inoculate the seed with appropriate Rhizobium spp. Good in mixes with other species that winter-kill, especially grasses such as oats.
",string,11,2022-10-28 13:00:49.497839-04,2022-10-28 13:00:49.497839-04,
86,Also known as Yellow Pea or Canadian Spring Pea. Winter-kills if planted in fall. Excellent spring cover crop. Plant early for lush growth; fast-growing varieties are available. Inoculate the seed with appropriate Rhizobium spp.; cross inoculates vetch. Mixes well with upright cover crop species due to its vining growth habit. Lower biomass and total N fixation compared to overwintered peas and other fall-planted legumes.,string,11,2022-10-28 13:00:49.497839-04,2022-10-28 13:00:49.497839-04,
87,"Also known as Yellow Pea or Canadian Spring Pea. Winter-kills if planted in fall. Excellent spring cover crop. Plant early for lush growth; fast-growing varieties are available. Inoculate the seed with appropriate Rhizobium spp.; cross inoculates vetch. Mixes well with upright cover crop species due to its vining growth habit. Lower biomass and total N fixation compared to overwintered peas and other fall-planted legumes.
",string,11,2022-10-28 13:00:49.497839-04,2022-10-28 13:00:49.497839-04,
88,Also known as Yellow Pea or Canadian Spring Pea. Winter-kills if planted in fall. Excellent spring cover crop. Plant early for lush growth; fast-growing varieties are available. Inoculate the seed with appropriate Rhizobium spp.; cross inoculates with vetch. Mixes well with upright cover crop species due to its vining growth habit. Lower biomass and total N fixation compared to overwintered peas and other fall-planted legumes.,string,11,2022-10-28 13:00:49.497839-04,2022-10-28 13:00:49.497839-04,
89,"Also known as forage soybean. Good N-fixation, biomass, and forage potential. Low reseeding and weed risk. Do not use in rotations where soybeans are grown as a cash crop to decrease disease, insect, and nematode buildup. Inoculate. Many varieties are available; use late-maturing or forage cultivars for high biomass. Its bushy growth habit mixes better with short grasses like foxtail millet. Attractive to deer so not recommeded for areas with high deer pressure. Similar to cowpea for cover crop use. Compared to cowpea: more tolerant of cool weather, wet soils; less tolerant of drought, pests, poor soil fertility. ",string,11,2022-10-28 13:00:49.497839-04,2022-10-28 13:00:49.497839-04,
90,"Also known as forage soybean. Good N-fixation, biomass, and forage potential. Low reseeding and weed risk. Do not use in rotations where soybeans are grown as a cash crop to decrease disease, insect, and nematode buildup. Inoculate. Many varieties are available; use late-maturing or forage cultivars for high biomass. Its bushy growth habit mixes better with short grasses like foxtail millet. Attractive to deer so not recommended for areas with high deer pressure. Similar to cowpea for cover crop use. Compared to cowpea: more tolerant of cool weather, wet soils; less tolerant of drought, pests, poor soil fertility. ",string,11,2022-10-28 13:00:49.499379-04,2022-10-28 13:00:49.499379-04,
91,"Also known as forage soybean. Good N-fixation, biomass, and forage potential. Low reseeding and weed risk. Do not use in rotations where soybeans are grown as a cash crop to decrease disease, insect, and nematode buildup. Inoculate. Many varieties are available; use late-maturing or forage cultivars for high biomass. Its bushy growth habit mixes better with short grasses like foxtail millet. Similar to cowpea for cover crop use. Attractive to deer so not recommended for areas with high deer pressure. Compared to cowpea: more tolerant of cool weather, wet soils; less tolerant of drought, pests, poor soil fertility.",string,11,2022-10-28 13:00:49.499379-04,2022-10-28 13:00:49.499379-04,
92,"Also known as forage soybean. Good N-fixation, biomass, and forage potential. Low reseeding and weed risk. Do not use in rotations where soybeans are grown as a cash crop to decrease disease, insect, and nematode buildup. Inoculate. Many varieties are available; use late-maturing or forage cultivars for high biomass. Its bushy growth habit mixes better with short grasses like foxtail millet. Similar to cowpea for cover crop use. Attractive to deer so not recommended for areas with high deer pressure. Compared to cowpea: more tolerant of cool weather, wet soils; less tolerant of drought, pests, poor soil fertility.
",string,11,2022-10-28 13:00:49.499379-04,2022-10-28 13:00:49.499379-04,
93,"Also known as: Sudex, Sudax. Excellent summer grass choice. Plant in early summer; does not tolerate cool soils. Fast-grower that reaches 6-12 ft tall, big biomass potential in the presence of lots of soil N. Regrows well after mowing/grazing. Excellent subsoiler with thicker roots than most grasses. Excellent weed suppressor due to competition and allelopathy (caution if next crop is small-seeded). Good forage, but prussic acid and nitrate content can be a problem. Improved forage types available, cultivars may vary widely. Can produce large amount of biomass; mow or kill in a timely fashion. Can substitute forage sorghum or sudangrass. Mixes well with cowpea and sunn hemp to create a diverse warm-season mixture.",string,11,2022-10-28 13:00:49.499379-04,2022-10-28 13:00:49.499379-04,
94,"Also known as: Sudex, Sudax. Excellent summer grass choice. Plant in early summer; does not tolerate cool soils. Fast-grower that reaches 6-12 ft tall, big biomass potential in the presence of lots of soil N. Regrows well after mowing/grazing. Excellent subsoiler with thicker roots than most grasses. Excellent weed suppressor due to competition and allelopathy (caution if next crop is small-seeded). Good forage, but prussic acid and nitrate content can be a problem. Slow drydown will limit dry hay production; chop or wrap for forage. Improved forage types available, cultivars may vary widely. Can produce large amount of biomass; mow or kill in a timely fashion. Can substitute forage sorghum or sudangrass. Mixes well with cowpea and sunn hemp to create a diverse warm-season mixture.",string,11,2022-10-28 13:00:49.499379-04,2022-10-28 13:00:49.499379-04,
95,"Also known as: Sudex, Sudax. Excellent summer grass choice. Plant in early summer; does not tolerate cool soils. Fast-grower that reaches 6-12 ft tall, big biomass potential in the presence of lots of soil N. Regrows well after mowing/grazing. Excellent subsoiler with thicker roots than most grasses. Excellent weed suppressor due to competition and allelopathy (caution if next crop is small-seeded). Good forage, but prussic acid and nitrate content can be a problem. Slow drydown will limit dry hay production; chop or wrap for forage. Improved forage types available, cultivars may vary widely. Can produce large amount of biomass; mow or kill in a timely fashion. Can substitute forage sorghum or sudangrass. Mixes well with cowpea and sunn hemp to create a diverse warm-season mixture.
",string,11,2022-10-28 13:00:49.501918-04,2022-10-28 13:00:49.501918-04,
96,"Also sometimes known as Italian ryegrass. Establishes well in tough conditions. Tolerates wet soils better than small grains. Not good in heat or drought. Winter-hardiness can vary – select cultivar accordingly. Dense fibrous root system, top soil conditioner, good weed fighter and N scavenger, top-quality forage. Needs N fertility for high biomass. One of the best cover crop species for interseeding due to ease of establishment under droughty conditions, shade tolerance, and short stature. Annual ryegrass is a key weed in small grains. Do not allow to set seed. Can be hard to terminate in the spring with herbicides and other methods; successful termination dependent on crop growth stage and application timing. Blends of annual ryegrass that mature at different times will make termination more difficult. Mixes well with crimson clover. Shorter than small grains with a lower C:N ratio.",string,11,2022-10-28 13:00:49.501918-04,2022-10-28 13:00:49.501918-04,
97,"Also sometimes known as Italian ryegrass. Establishes well in tough conditions. Tolerates wet soils better than small grains. Not good in heat or drought. Winter-hardiness can vary – select cultivar accordingly. Dense fibrous root system, top soil conditioner, good weed fighter and N scavenger, top-quality forage. Needs N fertility for high biomass. One of the best cover crop species for interseeding due to ease of establishment under droughty conditions, shade tolerance, and short stature. Annual ryegrass is a key weed in small grains. Do not allow to set seed. Can be hard to terminate in the spring with herbicides and other methods; successful termination dependent on crop growth stage and application timing. Blends of annual ryegrass that mature at different times will make termination more difficult. Mixes well with crimson clover. Shorter than small grains with a lower C:N ratio.
",string,11,2022-10-28 13:00:49.501918-04,2022-10-28 13:00:49.501918-04,
98,"Assorted hybrids of rapeseed, radish, turnips, mustards, kales, and collards. Can be grown spring through fall; not winter hardy. Fast-growing. High biomass, good for forage and silage. Should not constitute the majority of livestock diet. Does not form associations with arbuscular mycorrhizal fungi. If grown for silage, plant in mix with a cover crop with higher dry matter such as cereal rye.",string,11,2022-10-28 13:00:49.501918-04,2022-10-28 13:00:49.501918-04,
99,"Assorted hybrids of rapeseed, radish, turnips, mustards, kales, and collards. Can be grown spring through fall; not winter hardy. Fast-growing. High biomass, good for forage and silage. Should not constitute the majority of livestock diet. Does not form associations with arbuscular mycorrhizal fungi. If grown for silage, plant in mix with a cover crop with higher dry matter such as cereal rye.
",string,11,2022-10-28 13:00:49.505764-04,2022-10-28 13:00:49.505764-04,
100,"Best choice for poor/acid soils. Tolerates wet soil. Spring cereal rye germplasm does not require vernalization (overwintering) to flower and may be less winter-hardy than winter cereal rye if planted in the fall. Good cover crop for many purposes: excellent for biomass, N scavenging, weed control. Good forage, but low quality after heading. Best choice for roller-crimping. Height, biomass, high C:N ratio at maturity may hinder a following non-legume cash crop. Potential weed if it sets seed, especially in small grain cash crops. Mixes well with legumes.",string,11,2022-10-28 13:00:49.505764-04,2022-10-28 13:00:49.505764-04,
101,"Best choice for poor/acid soils. Tolerates wet soil. Spring cereal rye germplasm does not require vernalization (overwintering) to flower and may be less winter-hardy than winter cereal rye if planted in the fall. Good cover crop for many purposes: excellent for biomass, N scavenging, weed control. Good forage, but low quality after heading. Best choice for roller-crimping. Height, biomass, high C:N ratio at maturity may hinder a following non-legume cash crop. Potential weed if it sets seed, especially in small grain cash crops. Mixes well with legumes.
",string,11,2022-10-28 13:00:49.505764-04,2022-10-28 13:00:49.505764-04,
