id,label,is_array,is_strict,category_id,created_at,updated_at,deleted_at
18,Dry Matter Min (lbs/A/y),false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
19,Early Fall/Winter Seeding Rate End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
20,Early Fall/Winter Seeding Rate Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
21,Early Spring Growth,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
22,Early Spring Seeding Rate End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
23,Early Spring Seeding Rate Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
24,Ease of Establishment,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
25,Establishes Quickly,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
26,Family Common Name,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
27,Family Scientific Name,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
28,Flood Tolerance,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
29,Flooding Frequency Tolerance,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
30,Forage Harvest Value,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
31,Freezing Termination at Flowering,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
32,Freezing Termination at Vegetative,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
33,Frost Seeding,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
34,Frost Seeding End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
35,Frost Seeding Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
36,Good Grazing,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
37,Growing Window,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
38,Heat Tolerance,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
39,Hessian Fly-Free Date,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
40,ITIS TSN,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
41,Improve Soil Organic Matter,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
42,Increase Soil Aggregation,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
43,Lasting Residue,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
44,Late Fall Seeding Rate End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
45,Late Fall Seeding Rate Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
46,Late Fall/Winter Seeding Rate Date End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
47,Late Fall/Winter Seeding Rate Date Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
48,Late Fall/Winter Seeding Rate End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
49,Late Fall/Winter Seeding Rate Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
50,Late Summer Seeding Rate End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
51,Late Summer Seeding Rate Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
52,License,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
53,Low Fertility Tolerance,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
54,Maximum Tolerant Soil pH,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
55,Min Germination Temp (F),false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
56,Minimum Tolerant Soil pH,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
57,Mow Termination at Flowering,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
58,"Nitrogen Accumulation Max, Legumes (lbs/A/y)",false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
59,"Nitrogen Accumulation Min, Legumes (lbs/A/y)",false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
60,Nitrogen Fixation,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
61,Nitrogen Scavenging,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
62,Notes: Basic Agronomics,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
63,Notes: Disease,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
64,Notes: Environmental Tolerances,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
65,Notes: Forage and Grazing,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
66,Notes: Goals,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
67,"Notes: Growth, Roots, and Nutrients",false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
68,Notes: Insects,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
69,Notes: Nematodes,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
70,Notes: Planting,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
71,Notes: Pollinators,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
72,Notes: Soil Conditions,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
73,Notes: Taxonomy,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
74,Notes: Termination,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
75,Notes: Weeds,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
76,Origin,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
77,Outcompetes Summer Annual Weeds,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
78,Penetrates Plow Pan,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
79,Persistence,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
80,Pollinator Food,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
81,Prevent Fall Soil Erosion,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
82,Prevent Spring Soil Erosion,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
83,Reduces Crusting,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
84,Reduces Surface Compaction,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
85,Reliable Establishment/Growth End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
86,Reliable Establishment/Growth Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
87,Residue Suppresses Summer Annual Weeds,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
88,Residue Supresses Summer Annual Weeds,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
89,Roller Crimp Termination at Flowering,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
90,Roller Crimp Tolerance at Flowering,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
91,Root Depth,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
92,Salinity Tolerance,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
93,Scientific Name,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
94,Search Synonym,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
95,Search Synonyms,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
96,Second Reliable Establishment/Growth End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
97,Second Reliable Establishment/Growth Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
98,Second Temperature/Moisture Risk to Establishment End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
99,Second Temperature/Moisture Risk to Establishment Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
100,Seed Price per Pound,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
101,Seeds per Pound,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
102,Shade Tolerance,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
103,Soil Moisture Use,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
104,Standard Fall Seeding Rate End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
105,Standard Fall Seeding Rate Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
106,Standard Fall/Winter Seeding Rate Date End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
107,Standard Fall/Winter Seeding Rate Date Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
108,Standard Fall/Winter Seeding Rate End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
109,Standard Fall/Winter Seeding Rate Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
110,Standard Spring Seeding Rate Date End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
111,Standard Spring Seeding Rate Date Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
112,Standard Spring Seeding Rate End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
113,Standard Spring Seeding Rate Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
114,Standard Summer Seeding Rate Date End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
115,Standard Summer Seeding Rate Date Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
116,Standard Summer Seeding Rate End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
117,Standard Summer Seeding Rate Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
118,Supports Mycorrhizae,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
119,Suppresses Winter Annual Weeds,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
120,Supresses Winter Annual Weeds,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
121,Synonyms,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
122,Temperature/Moisture Risk to Establishment End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
123,Temperature/Moisture Risk to Establishment Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
124,Tillage Termination at Flowering,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
125,Tillage Termination at Vegetative,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
126,USDA Symbol,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
127,Volunteer Establishment,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
128,Zone,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
129,Zone Cover Crop Description,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
130,Zone Decision,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
131,Zone Use,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
132,__id,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
133,"cv, var, or ssp to specify",false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
134,Active Growth Period,true,false,11,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
135,Duration,true,false,11,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
136,Flowering Trigger,true,false,6,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
137,Inoculant Type,true,false,6,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
138,Root Architecture,true,false,6,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
140,Soil Drainage,true,false,9,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
141,Soil Texture,true,false,9,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
142,Winter Survival,true,false,3,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
