id,label,category_id,is_array,is_strict
121,Synonyms,14,false,false
122,Temperature/Moisture Risk to Establishment End,14,false,false
123,Temperature/Moisture Risk to Establishment Start,14,false,false
124,Tillage Termination at Flowering,14,false,false
125,Tillage Termination at Vegetative,14,false,false
126,USDA Symbol,14,false,false
127,Volunteer Establishment,14,false,false
128,Zone,14,false,false
129,Zone Cover Crop Description,14,false,false
130,Zone Decision,14,false,false
131,Zone Use,14,false,false
132,__id,14,false,false
133,"cv, var, or ssp to specify",14,false,false
134,Active Growth Period,11,true,false
135,Duration,11,true,false
136,Flowering Trigger,6,true,false
137,Inoculant Type,6,true,false
138,Root Architecture,6,true,false
140,Soil Drainage,9,true,false
141,Soil Texture,9,true,false
142,Winter Survival,3,true,false
